,Area,Mean,Min,Max
,1.423,255,255,255
,0.638,255,255,255
,0.052,255,255,255
,33.685,255,255,255
,0.023,255,255,255
,0.218,255,255,255
,0.023,255,255,255
,0.116,255,255,255
,0.072,255,255,255
,0.023,255,255,255
,0.359,255,255,255
,0.115,255,255,255
,0.142,255,255,255
,0.023,255,255,255
,0.023,255,255,255
,0.043,255,255,255
,0.045,255,255,255
,0.04,255,255,255
,0.039,255,255,255
,0.102,255,255,255
,0.023,255,255,255
,0.082,255,255,255
,0.043,255,255,255
,0.023,255,255,255
,0.023,255,255,255
,0.055,255,255,255
,0.159,255,255,255
,0.023,255,255,255
,0.12,255,255,255
,0.048,255,255,255
,0.052,255,255,255
,0.023,255,255,255
,0.047,255,255,255
,0.259,255,255,255
,0.037,255,255,255
,0.025,255,255,255
,0.297,255,255,255
,0.624,255,255,255
,0.138,255,255,255
,0.389,255,255,255
,0.483,255,255,255
,0.03,255,255,255
,0.082,255,255,255
,0.059,255,255,255
,0.263,255,255,255
,0.157,255,255,255
,0.032,255,255,255
,0.257,255,255,255
,0.071,255,255,255
,0.334,255,255,255
,0.394,255,255,255
,1.006,255,255,255
,0.16,255,255,255
,0.076,255,255,255
,0.165,255,255,255
,1.136,255,255,255
,0.267,255,255,255
,0.849,255,255,255
,0.257,255,255,255
,0.101,255,255,255
,0.954,255,255,255
,0.02,255,255,255
,0.076,255,255,255
,0.093,255,255,255
,0.94,255,255,255
,0.378,255,255,255
,0.025,255,255,255
,0.02,255,255,255
,0.245,255,255,255
,0.562,255,255,255
,0.443,255,255,255
,1.091,255,255,255
,1.312,255,255,255
,0.749,255,255,255
,0.254,255,255,255
,0.405,255,255,255
,0.306,255,255,255
,0.032,255,255,255
,0.606,255,255,255
,5.573,255,255,255
,0.072,255,255,255
,0.084,255,255,255
,0.02,255,255,255
,1.177,255,255,255
,0.45,255,255,255
,0.432,255,255,255
,0.077,255,255,255
,0.052,255,255,255
,1.356,255,255,255
,0.084,255,255,255
,0.093,255,255,255
,0.063,255,255,255
,0.24,255,255,255
,0.274,255,255,255
,0.328,255,255,255
,0.439,255,255,255
,0.026,255,255,255
,0.04,255,255,255
,0.147,255,255,255
,0.073,255,255,255
,0.107,255,255,255
,0.036,255,255,255
,0.382,255,255,255
,0.106,255,255,255
,0.143,255,255,255
,0.488,255,255,255
,0.086,255,255,255
,0.109,255,255,255
,0.065,255,255,255
,1.664,255,255,255
,0.101,255,255,255
,0.02,255,255,255
,0.113,255,255,255
,0.046,255,255,255
,0.674,255,255,255
,2.085,255,255,255
,0.191,255,255,255
,3.043,255,255,255
,0.061,255,255,255
,0.079,255,255,255
,0.064,255,255,255
,0.027,255,255,255
,0.111,255,255,255
,2.295,255,255,255
,0.105,255,255,255
,0.719,255,255,255
,2.476,255,255,255
,0.144,255,255,255
,0.057,255,255,255
,0.379,255,255,255
,0.029,255,255,255
,4.916,255,255,255
,0.066,255,255,255
,0.03,255,255,255
,0.737,255,255,255
,0.057,255,255,255
,1.605,255,255,255
,0.225,255,255,255
,0.073,255,255,255
,0.582,255,255,255
,1.762,255,255,255
,1.026,255,255,255
,0.026,255,255,255
,0.201,255,255,255
,0.32,255,255,255
,0.131,255,255,255
,0.283,255,255,255
,0.047,255,255,255
,0.058,255,255,255
,0.027,255,255,255
,0.073,255,255,255
,0.038,255,255,255
,0.918,255,255,255
,0.033,255,255,255
,0.187,255,255,255
,0.09,255,255,255
,0.158,255,255,255
,0.046,255,255,255
,0.03,255,255,255
,0.048,255,255,255
,0.177,255,255,255
,0.674,255,255,255
,0.169,255,255,255
,0.029,255,255,255
,0.158,255,255,255
,0.095,255,255,255
,0.039,255,255,255
,0.093,255,255,255
,0.164,255,255,255
,1.995,255,255,255
,0.044,255,255,255
,0.058,255,255,255
,0.034,255,255,255
,0.107,255,255,255
,0.078,255,255,255
,0.067,255,255,255
,0.103,255,255,255
,0.365,255,255,255
,5.615,255,255,255
,0.25,255,255,255
,0.074,255,255,255
,0.06,255,255,255
,0.276,255,255,255
,0.162,255,255,255
,0.056,255,255,255
,0.422,255,255,255
,0.104,255,255,255
,0.065,255,255,255
,0.563,255,255,255
,0.315,255,255,255
,0.653,255,255,255
,0.438,255,255,255
,3.794,255,255,255
,0.026,255,255,255
,0.107,255,255,255
,0.53,255,255,255
,0.057,255,255,255
,0.054,255,255,255
,0.067,255,255,255
,0.469,255,255,255
,2.871,255,255,255
,0.131,255,255,255
,0.396,255,255,255
,0.026,255,255,255
,0.066,255,255,255
,1.239,255,255,255
,0.026,255,255,255
,1.32,255,255,255
,0.09,255,255,255
,3.142,255,255,255
,0.044,255,255,255
,0.026,255,255,255
,0.939,255,255,255
,0.226,255,255,255
,0.067,255,255,255
,2.336,255,255,255
,0.353,255,255,255
,0.042,255,255,255
,0.147,255,255,255
,0.206,255,255,255
,0.063,255,255,255
,1.258,255,255,255
,0.026,255,255,255
,0.386,255,255,255
,0.766,255,255,255
,0.055,255,255,255
,0.113,255,255,255
,0.052,255,255,255
,0.026,255,255,255
,1.098,255,255,255
,0.098,255,255,255
,0.145,255,255,255
,0.171,255,255,255
,0.056,255,255,255
,0.505,255,255,255
,0.24,255,255,255
,0.026,255,255,255
,0.092,255,255,255
,0.317,255,255,255
,0.145,255,255,255
,0.033,255,255,255
,1.885,255,255,255
,0.974,255,255,255
,0.224,255,255,255
,0.049,255,255,255
,0.043,255,255,255
,0.03,255,255,255
,0.081,255,255,255
,0.221,255,255,255
,0.028,255,255,255
,0.144,255,255,255
,0.052,255,255,255
,0.94,255,255,255
,0.024,255,255,255
,0.556,255,255,255
,0.153,255,255,255
,1.094,255,255,255
,0.572,255,255,255
,0.048,255,255,255
,0.333,255,255,255
,0.165,255,255,255
,0.474,255,255,255
,1.057,255,255,255
,0.033,255,255,255
,0.158,255,255,255
,0.023,255,255,255
,0.206,255,255,255
,0.022,255,255,255
,0.268,255,255,255
,0.029,255,255,255
,0.041,255,255,255
,0.035,255,255,255
,1.083,255,255,255
,0.12,255,255,255
,0.022,255,255,255
,0.208,255,255,255
,0.504,255,255,255
,0.045,255,255,255
,0.529,255,255,255
,0.219,255,255,255
,0.044,255,255,255
,0.263,255,255,255
,1.138,255,255,255
,0.028,255,255,255
,0.022,255,255,255
,1.309,255,255,255
,0.035,255,255,255
,0.628,255,255,255
