,Area,Mean,Min,Max
,0.225,255,255,255
,21.025,255,255,255
,0.064,255,255,255
,0.062,255,255,255
,2.415,255,255,255
,0.122,255,255,255
,0.032,255,255,255
,0.095,255,255,255
,0.025,255,255,255
,0.121,255,255,255
,0.147,255,255,255
,0.119,255,255,255
,0.025,255,255,255
,0.234,255,255,255
,0.028,255,255,255
,0.13,255,255,255
,0.104,255,255,255
,0.025,255,255,255
,0.04,255,255,255
,10.606,255,255,255
,0.087,255,255,255
,0.846,255,255,255
,0.06,255,255,255
,0.273,255,255,255
,0.045,255,255,255
,0.106,255,255,255
,0.485,255,255,255
,0.528,255,255,255
,0.134,255,255,255
,0.051,255,255,255
,0.028,255,255,255
,0.65,255,255,255
,0.02,255,255,255
,0.733,255,255,255
,0.041,255,255,255
,0.291,255,255,255
,0.034,255,255,255
,0.049,255,255,255
,0.255,255,255,255
,0.137,255,255,255
,0.056,255,255,255
,0.345,255,255,255
,0.333,255,255,255
,0.421,255,255,255
,0.336,255,255,255
,0.022,255,255,255
,1.045,255,255,255
,0.022,255,255,255
,0.21,255,255,255
,0.066,255,255,255
,0.245,255,255,255
,0.028,255,255,255
,0.281,255,255,255
,0.047,255,255,255
,0.414,255,255,255
,0.022,255,255,255
,2.288,255,255,255
,0.267,255,255,255
,0.057,255,255,255
,0.022,255,255,255
,0.196,255,255,255
,0.08,255,255,255
,0.575,255,255,255
,0.359,255,255,255
,0.603,255,255,255
,0.066,255,255,255
,0.128,255,255,255
,0.028,255,255,255
,0.087,255,255,255
,0.12,255,255,255
,0.337,255,255,255
,0.328,255,255,255
,0.022,255,255,255
,0.022,255,255,255
,0.236,255,255,255
,0.211,255,255,255
,0.127,255,255,255
,0.954,255,255,255
,0.183,255,255,255
,0.316,255,255,255
,0.166,255,255,255
,0.189,255,255,255
,0.032,255,255,255
,0.066,255,255,255
,0.738,255,255,255
,0.16,255,255,255
,0.041,255,255,255
,0.022,255,255,255
,0.028,255,255,255
,0.022,255,255,255
,0.022,255,255,255
,0.234,255,255,255
,0.296,255,255,255
,0.102,255,255,255
,0.497,255,255,255
,0.113,255,255,255
,0.069,255,255,255
,0.412,255,255,255
,0.086,255,255,255
,0.022,255,255,255
,0.491,255,255,255
,0.022,255,255,255
,0.184,255,255,255
,0.4,255,255,255
,0.331,255,255,255
,0.091,255,255,255
,0.051,255,255,255
,0.086,255,255,255
,0.106,255,255,255
,0.203,255,255,255
,0.022,255,255,255
,0.075,255,255,255
,0.103,255,255,255
,0.035,255,255,255
,0.725,255,255,255
,0.451,255,255,255
,0.64,255,255,255
,0.078,255,255,255
,0.206,255,255,255
,0.373,255,255,255
,0.387,255,255,255
,0.094,255,255,255
,0.108,255,255,255
,0.029,255,255,255
,0.188,255,255,255
,0.055,255,255,255
,0.152,255,255,255
,0.028,255,255,255
,0.451,255,255,255
