,Area,Mean,Min,Max
,0.112,255,255,255
,0.053,255,255,255
,0.045,255,255,255
,0.027,255,255,255
,0.307,255,255,255
,0.555,255,255,255
,0.281,255,255,255
,0.105,255,255,255
,0.294,255,255,255
,0.776,255,255,255
,0.356,255,255,255
,0.082,255,255,255
,1.049,255,255,255
,0.12,255,255,255
,1.002,255,255,255
,0.184,255,255,255
,0.118,255,255,255
,0.046,255,255,255
,0.418,255,255,255
,0.033,255,255,255
,0.985,255,255,255
,0.027,255,255,255
,0.169,255,255,255
,0.189,255,255,255
,0.071,255,255,255
,0.038,255,255,255
,1.472,255,255,255
,0.035,255,255,255
,0.307,255,255,255
,0.045,255,255,255
,0.906,255,255,255
,0.501,255,255,255
,0.16,255,255,255
,0.094,255,255,255
,0.061,255,255,255
,0.097,255,255,255
,0.634,255,255,255
,0.041,255,255,255
,0.221,255,255,255
,0.14,255,255,255
,0.413,255,255,255
,0.057,255,255,255
,0.244,255,255,255
,0.242,255,255,255
,0.043,255,255,255
,0.027,255,255,255
,0.771,255,255,255
,0.197,255,255,255
,0.085,255,255,255
,0.067,255,255,255
,0.494,255,255,255
,0.191,255,255,255
,0.572,255,255,255
,0.47,255,255,255
,0.478,255,255,255
,0.11,255,255,255
,0.111,255,255,255
,0.277,255,255,255
,0.326,255,255,255
,0.119,255,255,255
,0.296,255,255,255
,0.264,255,255,255
,1.209,255,255,255
,0.039,255,255,255
,0.41,255,255,255
,0.027,255,255,255
,0.287,255,255,255
,0.054,255,255,255
,0.217,255,255,255
,0.306,255,255,255
,0.047,255,255,255
,0.194,255,255,255
,0.044,255,255,255
,1.083,255,255,255
,0.059,255,255,255
,1.477,255,255,255
,0.165,255,255,255
,1.632,255,255,255
,0.027,255,255,255
,2.344,255,255,255
,0.144,255,255,255
,0.045,255,255,255
,0.162,255,255,255
,0.332,255,255,255
,0.077,255,255,255
,0.183,255,255,255
,0.027,255,255,255
,0.343,255,255,255
,0.042,255,255,255
,0.906,255,255,255
,0.124,255,255,255
,0.84,255,255,255
,0.027,255,255,255
,0.269,255,255,255
,0.047,255,255,255
,0.027,255,255,255
,0.047,255,255,255
,0.04,255,255,255
,0.095,255,255,255
,1.147,255,255,255
,0.027,255,255,255
,0.695,255,255,255
,0.05,255,255,255
,0.354,255,255,255
,0.211,255,255,255
,0.086,255,255,255
,0.027,255,255,255
,0.273,255,255,255
,0.113,255,255,255
,0.156,255,255,255
,0.076,255,255,255
,0.349,255,255,255
,0.108,255,255,255
,0.059,255,255,255
,0.027,255,255,255
,0.293,255,255,255
,0.097,255,255,255
,0.122,255,255,255
,0.028,255,255,255
,1.482,255,255,255
,0.219,255,255,255
,1.085,255,255,255
,0.145,255,255,255
,0.381,255,255,255
,0.48,255,255,255
,0.033,255,255,255
,0.406,255,255,255
,0.023,255,255,255
,0.036,255,255,255
,0.023,255,255,255
,4.262,255,255,255
,0.348,255,255,255
,0.071,255,255,255
,0.778,255,255,255
,0.069,255,255,255
,0.023,255,255,255
,0.081,255,255,255
,0.077,255,255,255
,0.093,255,255,255
,0.675,255,255,255
,0.752,255,255,255
,2.113,255,255,255
,1.799,255,255,255
,0.15,255,255,255
,0.454,255,255,255
,0.028,255,255,255
,0.023,255,255,255
,0.176,255,255,255
,0.231,255,255,255
,0.833,255,255,255
,0.322,255,255,255
,1.951,255,255,255
,0.104,255,255,255
,0.308,255,255,255
,4.012,255,255,255
,0.133,255,255,255
,0.114,255,255,255
,0.171,255,255,255
,0.31,255,255,255
,0.023,255,255,255
,0.214,255,255,255
,0.289,255,255,255
,0.023,255,255,255
,0.12,255,255,255
