,Area,Mean,Min,Max
,0.057,255,255,255
,0.186,255,255,255
,0.064,255,255,255
,0.284,255,255,255
,0.057,255,255,255
,0.023,255,255,255
,0.028,255,255,255
,0.253,255,255,255
,0.028,255,255,255
,0.04,255,255,255
,0.286,255,255,255
,0.148,255,255,255
,0.58,255,255,255
,0.497,255,255,255
,0.035,255,255,255
,0.063,255,255,255
,0.028,255,255,255
,0.023,255,255,255
,0.023,255,255,255
,0.082,255,255,255
,0.023,255,255,255
,0.124,255,255,255
,0.032,255,255,255
,1.055,255,255,255
,0.045,255,255,255
,0.028,255,255,255
,0.028,255,255,255
,0.095,255,255,255
,0.044,255,255,255
,0.182,255,255,255
,0.02,255,255,255
,0.034,255,255,255
,0.296,255,255,255
,0.024,255,255,255
,0.045,255,255,255
,0.044,255,255,255
,0.082,255,255,255
,0.107,255,255,255
,0.02,255,255,255
,0.033,255,255,255
,0.391,255,255,255
,0.116,255,255,255
,0.089,255,255,255
,0.491,255,255,255
,0.131,255,255,255
,0.101,255,255,255
,0.387,255,255,255
,0.06,255,255,255
,0.696,255,255,255
,0.474,255,255,255
,0.045,255,255,255
,0.043,255,255,255
,0.053,255,255,255
,0.181,255,255,255
,0.084,255,255,255
,0.394,255,255,255
,0.02,255,255,255
,0.02,255,255,255
,0.024,255,255,255
,0.02,255,255,255
,0.084,255,255,255
,0.238,255,255,255
,0.138,255,255,255
,0.056,255,255,255
,0.139,255,255,255
,0.137,255,255,255
,0.049,255,255,255
,0.166,255,255,255
,0.375,255,255,255
,0.301,255,255,255
,0.107,255,255,255
,0.02,255,255,255
,0.046,255,255,255
,0.088,255,255,255
,0.067,255,255,255
,0.02,255,255,255
,0.058,255,255,255
,0.344,255,255,255
,0.024,255,255,255
,0.02,255,255,255
,0.195,255,255,255
,0.024,255,255,255
,0.094,255,255,255
,0.031,255,255,255
,0.117,255,255,255
,0.426,255,255,255
,0.033,255,255,255
,0.076,255,255,255
,0.312,255,255,255
,0.034,255,255,255
,0.273,255,255,255
,0.083,255,255,255
,0.109,255,255,255
,0.029,255,255,255
,0.689,255,255,255
,0.049,255,255,255
,0.173,255,255,255
,0.026,255,255,255
,0.347,255,255,255
,0.339,255,255,255
,0.038,255,255,255
,0.195,255,255,255
,0.072,255,255,255
,0.047,255,255,255
,0.43,255,255,255
,2.862,255,255,255
,0.024,255,255,255
,0.364,255,255,255
,0.03,255,255,255
,0.02,255,255,255
,0.813,255,255,255
,0.183,255,255,255
,0.032,255,255,255
,0.474,255,255,255
,0.057,255,255,255
,0.163,255,255,255
,0.109,255,255,255
,0.057,255,255,255
,0.374,255,255,255
,0.098,255,255,255
,2.055,255,255,255
,0.044,255,255,255
,0.073,255,255,255
,0.092,255,255,255
,0.175,255,255,255
,0.02,255,255,255
,0.052,255,255,255
,0.105,255,255,255
,0.43,255,255,255
,0.033,255,255,255
,0.06,255,255,255
,1.868,255,255,255
,0.965,255,255,255
,0.222,255,255,255
,0.048,255,255,255
,0.042,255,255,255
,0.03,255,255,255
,0.08,255,255,255
,0.219,255,255,255
,0.028,255,255,255
,0.143,255,255,255
,0.051,255,255,255
,0.932,255,255,255
,0.024,255,255,255
,0.551,255,255,255
,0.152,255,255,255
,1.084,255,255,255
,0.567,255,255,255
,0.047,255,255,255
,0.33,255,255,255
,0.164,255,255,255
,0.47,255,255,255
,1.047,255,255,255
,0.033,255,255,255
,0.156,255,255,255
,0.022,255,255,255
,0.204,255,255,255
,0.021,255,255,255
,0.266,255,255,255
,0.029,255,255,255
,0.04,255,255,255
,0.035,255,255,255
,1.073,255,255,255
,0.119,255,255,255
,0.021,255,255,255
,0.206,255,255,255
,0.499,255,255,255
,0.044,255,255,255
,0.524,255,255,255
,0.217,255,255,255
,0.043,255,255,255
,0.26,255,255,255
,1.128,255,255,255
,0.028,255,255,255
,0.021,255,255,255
,1.297,255,255,255
,0.035,255,255,255
,0.622,255,255,255
,0.254,255,255,255
,0.064,255,255,255
,0.843,255,255,255
,0.605,255,255,255
,0.061,255,255,255
,0.119,255,255,255
,0.199,255,255,255
,0.03,255,255,255
,0.042,255,255,255
,0.135,255,255,255
,0.044,255,255,255
,0.468,255,255,255
,0.113,255,255,255
,0.159,255,255,255
,0.514,255,255,255
,0.071,255,255,255
,0.432,255,255,255
,1.668,255,255,255
,0.039,255,255,255
,0.062,255,255,255
,0.075,255,255,255
,0.324,255,255,255
,0.057,255,255,255
,0.646,255,255,255
,0.338,255,255,255
,0.024,255,255,255
,1.279,255,255,255
,0.024,255,255,255
,0.056,255,255,255
,0.028,255,255,255
,0.126,255,255,255
,0.061,255,255,255
,0.024,255,255,255
,0.059,255,255,255
,0.216,255,255,255
,0.103,255,255,255
,0.032,255,255,255
,0.139,255,255,255
,0.055,255,255,255
,0.139,255,255,255
,0.071,255,255,255
,0.464,255,255,255
,0.095,255,255,255
,1.239,255,255,255
,0.067,255,255,255
,1.685,255,255,255
,0.055,255,255,255
,0.13,255,255,255
,1.606,255,255,255
,0.045,255,255,255
,0.025,255,255,255
,0.257,255,255,255
,0.256,255,255,255
,0.045,255,255,255
,0.04,255,255,255
,0.14,255,255,255
,0.124,255,255,255
,1.015,255,255,255
,0.058,255,255,255
,0.137,255,255,255
,0.663,255,255,255
,3.959,255,255,255
,0.06,255,255,255
,0.039,255,255,255
,0.27,255,255,255
,0.063,255,255,255
,0.726,255,255,255
,0.039,255,255,255
,0.351,255,255,255
,1.792,255,255,255
,0.038,255,255,255
,3.185,255,255,255
,0.85,255,255,255
,0.129,255,255,255
,0.151,255,255,255
,1.868,255,255,255
,0.096,255,255,255
,1.095,255,255,255
,2.213,255,255,255
,0.056,255,255,255
,0.663,255,255,255
,4.221,255,255,255
,1.169,255,255,255
,0.025,255,255,255
,0.025,255,255,255
,0.154,255,255,255
,0.046,255,255,255
